epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8652,1.1153,3.05512,2.32523,1.25527,0.96596,0.30333,0.32155,0.28817,0.96596,0.30333,0.32138,0.24862,1.17504,2.90885,1.63866,1.07215,0.00046943,0.00046943,0.00046943
2,51.9147,0.99002,1.95421,1.22177,1.15188,0.7766,0.3482,0.36655,0.30148,0.78486,0.34541,0.35985,0.27399,1.08379,2.20111,1.59871,1.00521,0.000927037,0.000927037,0.000927037
3,72.6862,1.04239,1.87271,1.20588,1.16333,0.78345,0.38367,0.37497,0.30706,0.73734,0.36711,0.35619,0.27245,1.11359,1.89752,1.45723,1.01133,0.00136578,0.00136578,0.00136578
4,93.6295,0.94867,1.64175,1.08859,1.09988,0.47699,0.40351,0.38831,0.31336,0.43463,0.3812,0.35793,0.29075,1.03508,1.97608,1.53881,0.98196,0.00134412,0.00134412,0.00134412
5,114.367,0.89706,1.55362,0.99655,1.09595,0.51068,0.40299,0.39043,0.30988,0.47229,0.39609,0.3802,0.27735,1.07845,1.96372,1.27781,1.00624,0.00131582,0.00131582,0.00131582
6,135.46,0.91646,1.52338,0.96332,1.11037,0.42213,0.44077,0.4156,0.32918,0.41904,0.43658,0.40067,0.30871,1.0172,1.72794,1.47636,0.9903,0.00128753,0.00128753,0.00128753
7,156.963,0.89352,1.46224,0.95652,1.06902,0.4781,0.47456,0.43446,0.34344,0.45025,0.45544,0.41651,0.31988,0.95201,1.50445,1.3187,0.95292,0.00125923,0.00125923,0.00125923
8,176.741,0.86197,1.43746,0.88576,1.06755,0.39997,0.52242,0.4793,0.3654,0.39127,0.45805,0.44276,0.33363,0.97214,1.45562,1.17522,0.94183,0.00123094,0.00123094,0.00123094
9,197.531,0.81303,1.32591,0.84551,1.0447,0.50432,0.46601,0.45615,0.34317,0.4342,0.42637,0.41411,0.31098,1.00352,1.54359,1.20304,0.96574,0.00120265,0.00120265,0.00120265
10,216.828,0.83461,1.34113,0.83216,1.04135,0.57176,0.51045,0.47835,0.36694,0.52562,0.48392,0.44405,0.33471,0.9497,1.51872,1.16814,0.93427,0.00117435,0.00117435,0.00117435
11,237.586,0.80104,1.2825,0.79999,1.03248,0.55469,0.49629,0.49764,0.38622,0.46285,0.44032,0.43485,0.33936,0.91744,1.39017,1.02178,0.91548,0.00114606,0.00114606,0.00114606
12,257.103,0.82922,1.34656,0.81855,1.04446,0.55567,0.52521,0.50498,0.38779,0.50063,0.50987,0.4613,0.34414,0.95808,1.43247,0.965,0.93892,0.00111776,0.00111776,0.00111776
13,277.815,0.81847,1.27718,0.79954,1.03,0.59284,0.51838,0.49992,0.39372,0.57648,0.50722,0.48717,0.35022,0.8875,1.46806,0.99939,0.9054,0.00108947,0.00108947,0.00108947
14,298.347,0.75464,1.18845,0.72923,1.00467,0.55828,0.48234,0.49321,0.39029,0.46022,0.47636,0.4481,0.33671,0.95437,1.40509,1.09969,0.94156,0.00106118,0.00106118,0.00106118
15,318.556,0.77642,1.22287,0.76009,1.02355,0.5339,0.56125,0.48772,0.39058,0.49685,0.55329,0.48504,0.35003,0.93827,1.4407,0.94884,0.92523,0.00103288,0.00103288,0.00103288
16,339.195,0.77461,1.27677,0.74111,1.01966,0.58157,0.52011,0.48754,0.38921,0.509,0.48121,0.44892,0.32873,0.89184,1.44023,0.97009,0.90198,0.00100459,0.00100459,0.00100459
17,360.411,0.7401,1.19717,0.73055,1.00831,0.59593,0.57164,0.52123,0.41989,0.57091,0.56909,0.5092,0.37236,0.85839,1.30448,0.92527,0.90086,0.000976293,0.000976293,0.000976293
18,380.938,0.73484,1.13798,0.7042,1.01492,0.63809,0.56882,0.54666,0.42078,0.59928,0.54954,0.51591,0.36431,0.87928,1.261,0.95327,0.89699,0.000947999,0.000947999,0.000947999
19,401.902,0.71128,1.08131,0.67985,0.98763,0.67585,0.56121,0.55461,0.42695,0.57806,0.54739,0.51786,0.37373,0.82507,1.24583,0.91135,0.88043,0.000919704,0.000919704,0.000919704
20,423.029,0.70712,1.16297,0.68024,0.99653,0.66004,0.57284,0.53425,0.41351,0.60378,0.5586,0.5114,0.36353,0.78453,1.20333,0.91262,0.86655,0.00089141,0.00089141,0.00089141
